Freq	Type
10	laundry
10	pudding
10	chewing
10	monkey
10	oven
10	puppy
10	pictures
10	glasses
10	yesterday
10	since
10	vaseline
10	trash
10	brown
10	once
10	computer
10	cross
10	sleep
10	raisin
10	exciting
10	ever
10	picking
10	wheels
10	thanks
10	sailboat
10	english
10	poop
10	bookie
10	lid
10	sugar
10	money
10	upset
10	asleep
10	medicine
9	set
9	fun
9	bookies
9	running
9	least
9	ticklish
9	pow
9	cover
9	able
9	kittens
9	egg
9	soon
9	hen
9	mark
9	bird
9	music
9	laying
9	sky
9	excited
9	messy
9	kisses
9	pamper
9	step
9	carry
9	fan
9	pushing
9	walker
9	film
9	fell
9	reading
8	found
8	dinosaur
8	piglet
8	smile
8	corduroy
8	recording
8	violet
8	quick
8	toe
8	noodles
8	life
8	yep
8	daisy
8	musical
8	socks
8	pears
8	carrots
8	shoe
8	ride
8	fit
8	allowed
8	kids
8	peanut
8	max
8	holding
8	strong
8	mommy'll
8	rip
8	peas
8	hiccups
8	butter
8	bigger
8	piece
8	trees
8	keys
8	bear
8	slide
8	eve
8	heaven
7	sticking
7	massage
7	tower
7	vegetables
7	paying
7	blowing
7	kitchen
7	fish
7	numbers
7	letting
7	brisco's
7	trouble
7	roller
7	tree
7	cows
7	part
7	swimming
7	crawling
7	fold
7	reindeer
7	sweeta
7	gabby
7	cooking
7	oranges
7	crunch
7	doctor
7	bones
7	purse
7	nap
7	usually
7	dance
7	bringing
7	wooly
7	queeka
7	ribbon
7	ray
7	teddy
7	batteries
7	follow
7	headed
7	joy
7	bottom
7	square
7	telephone
7	oval
7	fuss
7	remote
7	squash
7	polish
7	grandma
7	above
7	baseball
7	against
7	leaf
7	neigh
7	anyway
6	ones
6	shoot
6	pumpkin
6	busy
6	mothers
6	empty
6	kicking
6	cookies
6	herself
6	raccoon
6	clapping
6	rattle
6	bumpy
6	jelly
6	marmalade
6	mouses
6	iron
6	sometimes
6	hairie
6	game
6	special
6	drummer
6	blockie
6	poopies
6	fitti
6	teacher
6	slippers
6	pottie
6	sockie
6	biting
6	dollars
6	caterpillar
6	bibbie
6	interesting
6	corner
6	elephant
6	triangles
6	listening
6	chickie
6	granddaddy
6	stir
6	fast
6	inches
6	airplane
6	destructive
6	circles
6	shapes
6	coaster
6	lose
6	summer
6	late
5	matches
5	sweetest
5	whining
5	hell
5	snort
5	munch
5	stack
5	barking
5	monkeys
5	everybody
5	air
5	mags
5	mustard
5	started
5	fine
5	queekie
5	boil
5	closet
5	sleeping
5	crayons
5	riding
5	sent
5	dieing
5	loved
5	small
5	fighting
5	bible
5	tylenol
5	fresh
5	thirteen
5	instrument
5	river
5	july
5	breathe
5	box
5	ignoring
5	working
5	sweatshirt
5	yomiko
5	afraid
5	yucky
5	lou
5	great
5	along
5	women
5	corn
5	rectangle
5	rings
5	rubbing
5	adam
5	crunchy
5	weasel
5	interested
5	product
5	tough
5	sweepie
5	pouring
5	toes
5	missing
5	baker
5	spectrum
5	buying
5	teeth
5	mix
5	pulling
5	wipers
5	hum
5	different
5	machine
5	hammer
5	peanuts
5	mom
5	army
5	acting
5	bat
5	natural
5	backwards
4	minnie
4	active
4	vegetable
4	noodle
4	bury
4	aggie
4	cavalry
4	gone
4	bushes
4	zip
4	container
4	yumyums
4	easy
4	christmas
4	messing
4	fry
4	granny
4	moon
4	blockies
4	carpet
4	middle
4	johnny
4	windows
4	driver
4	longest
4	drawer
4	friday
4	same
4	creatures
4	stars
4	favor
4	andy
4	name
4	brothers
4	slipper
4	reason
4	nas
4	foot
4	house
4	doughnut
4	waving
4	jimmy
4	flying
4	tense
4	zipper
4	kangaroo
4	king
4	babac
4	eleven
4	psghettios
4	cars
4	believe
4	oats
4	formula
4	headache
4	willy
4	forget
4	yours
4	today's
4	washcloth
4	snow
4	unless
4	perfect
4	cried
4	spitting
4	fat
4	happens
4	none
4	mary
4	visit
4	vitamins
4	test
4	needed
4	girla
4	drum
4	touchie
4	cuppie
4	camera
4	staying
4	park
4	couldn't
4	knocking
