,0,1,2,3,4,5,6,7,8,9,mean
type_fscore,0.2181,0.223,0.2231,0.2229,0.2205,0.2229,0.2219,0.2232,0.2196,0.2197,0.22149000000000002
type_recall,0.6079,0.6171,0.6147,0.6183,0.6111,0.5993,0.5836,0.5865,0.5842,0.5937,0.60164
type_precision,0.1329,0.1361,0.1363,0.136,0.1345,0.1369,0.137,0.1379,0.1352,0.1348,0.13576
token_fscore,0.358,0.358,0.365,0.3603,0.3544,0.3537,0.3491,0.3524,0.3478,0.3494,0.35480999999999996
token_recall,0.2887,0.2887,0.2949,0.2904,0.2851,0.2848,0.2805,0.2836,0.2795,0.2806,0.28568000000000005
token_precision,0.4712,0.471,0.4789,0.4747,0.4685,0.4664,0.4623,0.4651,0.4602,0.4626,0.46809
boundary_fscore,0.6002,0.5973,0.596,0.5931,0.5965,0.5976,0.596,0.6,0.5972,0.5978,0.59717
boundary_recall,0.4391,0.4364,0.4347,0.4316,0.4351,0.4372,0.4359,0.4403,0.4377,0.4373,0.43653
boundary_precision,0.9482,0.9459,0.9476,0.9477,0.9479,0.9438,0.9419,0.9415,0.9398,0.9444,0.9448699999999999
