,0,1,2,3,4,5,6,7,8,9,mean
type_fscore,0.08588,0.08243,0.08872,0.09057,0.09336,0.09133,0.0925,0.08925,0.08865,0.08432,0.088701
type_recall,0.1807,0.1738,0.1747,0.1829,0.1845,0.1759,0.1781,0.1788,0.1851,0.1789,0.17934
type_precision,0.05633,0.05403,0.05945,0.06018,0.06249,0.06167,0.06248,0.05947,0.05829,0.05516,0.058955
token_fscore,0.3124,0.2938,0.3081,0.3056,0.3028,0.2935,0.3049,0.3,0.2984,0.2977,0.30171999999999993
token_recall,0.312,0.2938,0.312,0.3077,0.3047,0.2952,0.3079,0.3004,0.2944,0.2953,0.30234
token_precision,0.3128,0.2937,0.3043,0.3034,0.3009,0.2919,0.302,0.2996,0.3024,0.3003,0.30113
boundary_fscore,0.5307,0.5084,0.5252,0.5302,0.5317,0.5244,0.5368,0.5312,0.5214,0.5164,0.5256399999999999
boundary_recall,0.5297,0.5085,0.5345,0.5354,0.5364,0.5286,0.5439,0.5321,0.512,0.5104,0.5271499999999999
boundary_precision,0.5317,0.5082,0.5162,0.5251,0.5272,0.5204,0.5299,0.5304,0.5312,0.5225,0.52428
