	8	9	10	11	12	13	14	15	16	17	18	unit
ag	0.06015950788781228	0.06404491904370066	0.06645364086587047	0.07876474926808276	0.08684568864558119	0.11128515114043941	0.11401584499467593	0.09053491939802301	0.10444225723425618	0.06361193548896105	0.07709213354906166	syllable
dibs	0.011190046729777837	0.01303095870882411	0.005366325471540678	0.006351821377901147	0.006122149110227105	0.005687427372728942	0.003333740123166789	0.0009248638182284791	0.000974591915732692	0.0021406002317098977	5.317832372893672e-05	syllable
puddle	0.010112092173260106	0.011875911413226487	0.004653601341347006	0.005460440614607856	0.005088922346368943	0.004464658800218569	0.0023234325762077975	0.0005210347316370643	0.0004123409379822645	0.0030279507024351844	0.00040880545035335914	syllable
baseline	0.04601937094343156	0.05178307120439149	0.05344642155839095	0.06304710563640355	0.0716691764109362	0.0952733088382251	0.09302105974502761	0.07578585918075026	0.0866752335881504	0.04819987247711775	0.05842772768375156	syllable
dpseg	0.07506948305326668	0.08651574518217385	0.08512934253272862	0.10120770965063847	0.11270304455640065	0.1382371973321898	0.12812747987137116	0.10755203955913767	0.12148250946629532	0.07423026044703496	0.08202692284191074	syllable
tp/absoluteforward	0.09722028725289279	0.10601277517932202	0.10672929726198822	0.12037634778027523	0.1281580564383308	0.1518855752622734	0.14394300577331853	0.12161351579912022	0.13293259245999062	0.08541986082167455	0.0964136275674655	syllable
tp/absolutebackward	0.06385120414855627	0.07043550085093206	0.06520696437738659	0.07798402638108125	0.08404961483918004	0.09895859918604961	0.08858711019630981	0.06318901382145643	0.07185630203386985	0.033737101571604235	0.032539509729273566	syllable
tp/relativeforward	0.1616421158491206	0.15681714232615473	0.1627920477313682	0.17804515282211178	0.17698269565907104	0.20143920540910654	0.1918637660216236	0.17822229189179783	0.17590862727028952	0.12949090069398939	0.13805080867852787	syllable
tp/relativebackward	0.0517208993862023	0.061025539448896764	0.04500041099441882	0.05181397189778583	0.050143287865958695	0.05198164674066407	0.03619911274869382	0.027806118045639705	0.025354434258831993	0.005852433789933927	0.009485578389740195	syllable
gold	0.08206236286397167	0.08307812911281817	0.08701267770669092	0.10288982648552233	0.1102572750035785	0.1382540135234769	0.1312498319589153	0.10585792395225493	0.12800060539805103	0.07735070897670328	0.09673240483565619	syllable
