Freq	Type
4	minute
4	laying
4	owl
4	edge
4	yuli
4	wall
4	getting
4	he'll
4	ways
4	ernie
4	booboon
4	toes
4	cream
3	belly
3	slow
3	barb
3	seed
3	goose
3	chill
3	light
3	cross
3	tape
3	bat
3	went
3	teach
3	pottie
3	loose
3	lied
3	bob
3	less
3	rest
3	number
3	pack
3	snap
3	gate
3	beans
3	eater
3	note
3	looka
3	grow
3	coffee
3	easy
3	seem
3	rice
3	lunch
3	nor
3	last
3	ahead
3	brush
3	hayley
3	lamb
3	york
3	seat
3	otay
3	six
3	rid
3	spot
3	daisy
3	elmo
3	twy
3	sammy
3	ark
3	truck
3	brown
3	matter
3	quack
3	nail
3	reach
3	bang
3	kick
3	yellow
3	tuck
3	thaw
3	dry
3	bump
3	stand
3	knees
3	taken
3	that'll
3	how's
3	mother
3	sweep
3	tongue
3	looking
3	they'd
3	aren't
3	cut
3	puts
3	rip
3	cool
3	walking
3	chips
3	step
3	maybe
3	weeny
3	film
3	tastes
3	bowl
3	baba
3	near
3	sky
3	knack
3	rings
3	tickle
3	things
3	check
3	peepee
3	comb
3	ever
3	she'll
3	pillow
3	he'd
3	playing
3	uhhuh
3	crawl
3	clown
3	fast
3	baker's
3	rash
3	doesn't
3	won't
3	wham
3	chip
3	sorry
3	pears
3	kind
3	hard
3	stew
3	hours
3	plane
2	soft
2	store
2	dame
2	birth
2	something
2	crack
2	pina
2	black
2	hoot
2	ain't
2	basket
2	purse
2	sad
2	pookie
2	tower
2	doubt
2	drawer
2	summer
2	friend
2	bop
2	standing
2	poor
2	fig
2	tub
2	treat
2	moon
2	wire
2	plan
2	set
2	fuzzy
2	float
2	color
2	times
2	gold
2	brooklyn
2	dyeisha
2	moose
2	clothes
2	loads
2	raisin
2	happy
2	energy
2	keys
2	town
2	gets
2	yourself
2	idea
2	full
2	shall
2	choochoo
2	mickey
2	jesus
2	bike
2	liked
2	hug
2	rhyme
2	crunch
2	pattycake
2	climb
2	drum
2	wind
2	geese
2	bottle
2	messy
2	found
2	warm
2	died
2	jack
2	rays
2	played
2	ding
2	rocks
2	dum
2	nowhere
2	thick
2	save
2	once
2	lion
2	rat
2	seen
2	sam
2	we've
2	flow
2	spin
2	talked
2	num
2	attic
2	noodles
2	loud
2	dive
2	drew
2	kitchen
2	news
2	wants
2	pants
2	vasie
2	lack
2	abc
2	above
2	sealie
2	after
2	bushes
2	only
2	cracker
2	telly
2	bless
2	swing
2	small
2	lying
2	smile
2	supposed
2	shine
2	tired
2	point
2	shout
2	mop
2	free
2	favor
2	lane
2	touch
2	block
2	honey
2	coat
2	oven
2	bleach
2	needs
2	crash
2	pant
2	ali
2	leaves
2	niece
2	bra
2	sleeve
2	thumb
2	cute
2	order
2	hungry
2	orange
2	knock
2	boat
2	card
2	quit
2	shy
2	floor
2	peach
2	sure
2	rose
2	finger
2	donna
2	help
2	sat
2	used
2	being
2	meal
2	nas
2	squash
2	date
2	taz
2	goodness
2	wake
2	pool
2	gots
2	toys
2	acre
2	true
2	router
2	mommy's
2	everything
2	wipe
2	tinky
2	tac
2	enough
2	lost
2	wheels
2	sale
2	ahhah
2	dance
2	w
2	fly
2	lot
2	takes
2	balloon
2	mark
2	wish
2	wore
2	excuse
2	body
2	scoop
2	ride
2	park
2	sip
2	school
2	soap
2	kid
1	mew
1	chime
1	talkie
1	corral
1	cord
1	genie
1	mama's
1	having
1	count
1	swish
1	frill
1	board
1	boys
1	china
1	underneath
1	scrub
1	hens
1	cannot
1	paper
1	whoopsie
1	hugger
1	unplug
1	carrots
1	beanie
1	stinky
1	amen
1	fry
1	newt
1	year
1	working
1	nuhuh
1	bother
1	nurse
1	pumpkin
1	normal
1	backed
1	git
1	thought
1	rinsed
1	prick
1	across
1	phony
1	berry
1	dolls
1	tense
1	spout
1	downstairs
1	shadow
1	best
1	penny
1	sewn
1	itsy
1	cloth
1	cleaned
1	riding
1	slick
1	puppy
1	chilly
1	creature
1	half
1	cork
1	either
1	duckie
1	peary
1	glasses
1	dollie
1	whys
1	along
1	wrist
1	feels
1	pen
1	shell
1	mousie
1	talking
1	oopsie
1	dude
1	nasty
