,0,1,2,3,4,5,6,7,8,9,mean
type_fscore,0.4512,0.4235,0.4346,0.4192,0.4202,0.4462,0.4267,0.408,0.4021,0.4279,0.42596
type_recall,0.6352,0.6017,0.6116,0.5987,0.6355,0.6304,0.6122,0.5771,0.5673,0.5724,0.6042099999999999
type_precision,0.3499,0.3267,0.3371,0.3226,0.3139,0.3453,0.3275,0.3155,0.3114,0.3417,0.32916
token_fscore,0.592,0.592,0.6041,0.569,0.5777,0.5851,0.5854,0.5471,0.5548,0.5671,0.57743
token_recall,0.5119,0.5113,0.5239,0.4854,0.4888,0.4985,0.4957,0.4567,0.4675,0.4828,0.49225
token_precision,0.7017,0.7029,0.7135,0.6874,0.706,0.7082,0.7147,0.6822,0.6823,0.687,0.69859
boundary_fscore,0.7321,0.737,0.7355,0.6837,0.7018,0.7038,0.7051,0.671,0.6863,0.7029,0.70592
boundary_recall,0.597,0.6015,0.5992,0.5379,0.5522,0.5568,0.5569,0.52,0.5377,0.5614,0.56206
boundary_precision,0.9463,0.9513,0.9521,0.9378,0.9626,0.9563,0.9607,0.9457,0.9483,0.9399,0.9501
