,0,1,2,3,4,5,6,7,8,9,mean
type_fscore,0.3787,0.3719,0.3759,0.365,0.379,0.3865,0.3835,0.3581,0.3635,0.3627,0.37248000000000003
type_recall,0.4679,0.4691,0.4646,0.455,0.537,0.4956,0.4899,0.4568,0.4349,0.4101,0.46809
type_precision,0.318,0.3081,0.3156,0.3048,0.2929,0.3168,0.315,0.2945,0.3123,0.3252,0.31032000000000004
token_fscore,0.4715,0.4546,0.4613,0.4445,0.4767,0.4605,0.4732,0.4276,0.4544,0.4173,0.45416
token_recall,0.4599,0.4479,0.4534,0.4323,0.4381,0.4385,0.4519,0.4008,0.4386,0.4166,0.4378
token_precision,0.4836,0.4616,0.4696,0.4573,0.5229,0.4848,0.4967,0.4582,0.4715,0.4181,0.47243
boundary_fscore,0.6854,0.6812,0.6771,0.6423,0.6607,0.6543,0.6704,0.6302,0.6601,0.6511,0.66128
boundary_recall,0.6625,0.6676,0.6608,0.6167,0.5864,0.6102,0.6289,0.5765,0.6284,0.6496,0.62876
boundary_precision,0.7099,0.6955,0.6942,0.67,0.7565,0.7054,0.7177,0.695,0.6951,0.6527,0.6992
