,0,1,2,3,4,5,6,7,8,9,mean
type_fscore,0.4908,0.4903,0.5056,0.5031,0.5001,0.4851,0.4638,0.4604,0.4603,0.4629,0.4822400000000001
type_recall,0.5323,0.5308,0.5514,0.5582,0.5536,0.5258,0.4987,0.4957,0.4941,0.497,0.5237599999999999
type_precision,0.4552,0.4556,0.4669,0.4579,0.456,0.4503,0.4335,0.4298,0.4309,0.4331,0.44692
token_fscore,0.7178,0.7188,0.7256,0.7398,0.7335,0.7326,0.7055,0.698,0.6987,0.7043,0.7174599999999999
token_recall,0.7545,0.7553,0.7607,0.7711,0.7634,0.7644,0.7379,0.7335,0.7331,0.7392,0.75131
token_precision,0.6845,0.6857,0.6935,0.711,0.7059,0.7033,0.6758,0.6659,0.6675,0.6725,0.68656
boundary_fscore,0.8277,0.8285,0.8295,0.8364,0.8368,0.8382,0.821,0.8196,0.8175,0.8204,0.8275599999999999
boundary_recall,0.8863,0.887,0.8862,0.8859,0.8838,0.8885,0.8725,0.8763,0.8722,0.876,0.8814699999999999
boundary_precision,0.7763,0.7772,0.7796,0.7921,0.7945,0.7933,0.7753,0.7697,0.7693,0.7715,0.77988
