,0,1,2,3,4,5,6,7,8,9,mean
type_fscore,0.1581,0.1582,0.1634,0.1601,0.161,0.1626,0.1643,0.1638,0.1605,0.1596,0.16116
type_recall,0.5864,0.5907,0.6088,0.6069,0.6246,0.5916,0.5707,0.5716,0.5574,0.5624,0.5871100000000001
type_precision,0.09135,0.0913,0.09439,0.09223,0.09244,0.09422,0.096,0.09558,0.09377,0.09297,0.093425
token_fscore,0.4098,0.4159,0.4212,0.42,0.4127,0.4094,0.4042,0.3994,0.3989,0.4054,0.40969
token_recall,0.3579,0.3629,0.3686,0.3668,0.36,0.3574,0.3527,0.3488,0.3477,0.3536,0.35764
token_precision,0.4793,0.487,0.4914,0.4912,0.4833,0.4791,0.4732,0.4671,0.4678,0.4749,0.47942999999999997
boundary_fscore,0.6064,0.6087,0.6095,0.6082,0.6088,0.6067,0.6073,0.6034,0.6046,0.6078,0.60714
boundary_recall,0.5,0.5008,0.5022,0.5002,0.5015,0.5005,0.5017,0.4992,0.4989,0.5018,0.5006799999999999
boundary_precision,0.7703,0.7758,0.7751,0.7756,0.7745,0.7702,0.7692,0.7625,0.7669,0.7705,0.77106
