Freq	Type
4	reach
4	missed
4	blankie
4	name
4	fuzzy
4	panther
4	cheek
4	boing
4	porridge
4	cookie
4	sean
4	apples
4	jack
4	swing
4	slipper
4	sleepy
4	kid
4	soon
4	lean
4	best
4	goldfish
4	cute
4	having
4	v
4	tadah
4	blanket
4	stomach
4	pant
4	crooked
4	air
4	she'll
4	gosh
4	rat
4	serious
4	soup
4	wrecking
4	beans
4	table
4	quite
4	laughing
4	climb
4	bean
4	mix
4	cook
4	dub
4	stir
4	morning
4	cleaning
4	fell
4	bigger
4	piggy
4	empty
4	wants
4	plate
4	mine
4	mother
4	sunshine
4	bo
4	fishie
4	fits
4	color
4	open
4	breeze
4	though
4	dover
4	shirt
4	flower
4	pit
4	slide
3	doorbell
3	mess
3	sweeping
3	makes
3	froggie
3	stuffy
3	fly
3	step
3	message
3	plan
3	x
3	bubble
3	fluff
3	hid
3	lynn
3	watching
3	yankee
3	tail
3	yucky
3	caught
3	tummy
3	bounce
3	meat
3	whiskers
3	anything
3	washing
3	mopping
3	basement
3	fruit
3	bottom
3	twelve
3	blow
3	scream
3	busy
3	loud
3	fan
3	sees
3	great
3	town
3	diapers
3	plug
3	pulling
3	rock
3	pear
3	toddler
3	dirt
3	cloth
3	drive
3	taste
3	cardboard
3	bumped
3	missing
3	itty
3	arm
3	babies
3	rash
3	same
3	allowed
3	horse
3	wave
3	actually
3	weasel
3	sister
3	works
3	top
3	course
3	win
3	quick
3	bridge
3	nails
3	scratch
3	munchkin
3	pocket
3	wire
3	nail
3	snap
3	heavy
3	wobbly
3	anybody
3	somebody
3	tissue
3	o'clock
3	robin
3	christmas
3	broken
3	shape
3	peaches
3	flying
3	less
3	blind
3	nothing
3	rinse
3	rainbow
3	care
3	dressed
3	running
3	wham
3	shake
3	tank
3	picture
3	happens
2	wires
2	block
2	treatment
2	pictures
2	since
2	hammer
2	exists
2	born
2	pearl
2	truth
2	leap
2	flow
2	taller
2	probably
2	mush
2	coughing
2	cans
2	hog
2	list
2	imagination
2	hen
2	flowers
2	daddy's
2	diaper
2	throwing
2	leaves
2	thirteen
2	ups
2	lips
2	sill
2	stew
2	rule
2	hint
2	soap
2	sailor
2	moon
2	months
2	bother
2	cap
2	rabbit
2	whisker
2	winnie
2	thin
2	jingles
2	cups
2	spill
2	men
2	bites
2	cutting
2	pears
2	chimney
2	meadow
2	lip
2	number
2	spring
2	upset
2	keys
2	dip
2	tried
2	float
2	wall
2	snooze
2	grabbing
2	dustpan
2	iguana
2	butterflies
2	post
2	falls
2	digging
2	glasses
2	calm
2	spin
2	dancing
2	boat
2	gee
2	crash
2	grandpa
2	penny
2	practice
2	catch
2	knack
2	bonnet
2	anymore
2	squeaks
2	turned
2	listen
2	yawn
2	mama's
2	closes
2	dining
2	bend
2	pop
2	world
2	f
2	maids
2	target
2	butts
2	calling
2	rolling
2	couch
2	cannot
2	lever
2	fifteen
2	zipper
2	pad
2	helper
2	ringing
2	snuck
2	chicken
2	tower
2	slipping
2	squirt
2	words
2	plastic
2	sewn
2	super
2	picking
2	crumbs
2	whale
2	blinds
2	jeans
2	noggin
2	corked
2	he'll
2	scoop
2	stop
2	sink
2	jumping
2	singing
2	rooster
2	squirrel
2	called
2	energy
2	rice
2	farm
2	zach
2	walker
2	favor
2	ways
2	board
2	crow
2	kissed
2	mail
2	ned
2	stays
2	lights
2	stash
2	crew
2	ride
2	messy
2	beef
2	check
2	turning
2	awful
2	takes
2	bench
2	every
2	second
2	sweat
2	sugar
2	nap
2	batter
2	grundy
2	turns
2	rattles
2	shapes
2	wide
2	flew
2	tractor
2	tar
2	oscar
2	fold
2	lift
2	figured
2	pause
2	red's
1	throat
1	paying
1	zachary
1	bat
1	tiggywinkle
1	hours
1	complains
1	rules
1	seuss
1	gracious
1	quail
1	koala
1	tangled
1	grain
1	giving
1	bars
1	scratching
1	carrots
1	easier
1	rest
1	partner
1	fiddle
1	arguing
1	quiz
1	broader
1	thick
1	messer
1	snake
1	mood
1	favorites
1	worried
1	crust
1	choose
1	mary
1	memory
1	moose
1	blink
1	bubbles
1	gets
1	taking
1	nope
1	puddy
1	floor's
1	phony
1	airplane's
1	buddy
1	windows
1	wrote
1	calf
1	uses
1	different
1	they'll
1	father
1	teach
1	none
1	steadier
1	mind
1	prunes
1	hawk
1	pushes
1	humming
1	hannah's
1	family
1	growing
1	kick
1	pots
1	news
1	clip
1	straight
1	beak
1	thursday
1	barrel
1	bus
1	soupy
1	landings
1	tugging
1	liz
1	mom's
1	prowl
1	grew
1	lane
1	abuse
1	carefully
1	helps
1	darling
1	lives
1	angels
1	moves
1	jiggling
1	diarrhea
1	twenty
1	dame
1	mark
1	eighteen
1	barn
1	plants
1	dessert
1	finished
1	moved
1	howling
1	squeak
1	scrub
1	pitcher
1	neat
1	past
1	sour
1	yak
1	neighborhood
1	without
1	airing
1	fuss
1	snack
1	lost
1	pressed
1	favorite
1	moment
1	dadada
1	live
1	covering
1	hippo
1	hope
1	sid
1	thicker
1	spots
1	tricks
1	hunt
1	repot
1	wouldn't
1	after
1	horn
1	nothing's
1	parrot
1	likes
1	rooms
1	drawers
1	tickles
1	baskets
1	tight
1	bonk
1	hanger
1	pooping
1	grover
1	bears
1	kissing
1	sense
1	talker
1	sewing
1	kids
1	bushes
1	thirty
1	banner
1	cushions
1	clicker
1	woods
1	laura
1	tambourine
1	taz
1	carrie
1	presents
1	tinkerbell
1	once
1	buggie
1	combination
1	snaps
1	sick
1	dumpling
1	dandy
1	tooth
1	sitter
1	glump
1	slides
1	wild
1	bright
1	clouds
1	caboose
1	girls
1	operator
1	bill
1	screecher
1	talked
1	finishing
1	friday
1	kiddo
1	flamingo
1	dropping
1	space
1	covers
1	letting
1	honey
1	griffin
1	pad's
1	uhhuh
1	possums
1	they've
1	gatorade
1	blankies
1	sneezes
1	tag
1	drinkie
1	buying
1	school
1	rubbing
1	thrown
1	thread
1	steps
1	looked
1	mile
1	frightened
1	inside
1	tears
1	couldn't
1	triangles
1	encourage
1	quails
1	petal
1	sleeping
1	pole
1	flavor
1	cooks
1	boop
1	wake
1	carried
1	handy
1	drum
1	skin
1	squid
1	hills
1	means
1	closer
1	timbers
1	short
1	dresses
1	tonka's
1	sip
1	corner
1	liked
1	crazy
1	heavier
1	slime
1	saturday
1	sneeze
1	fact
1	pajamas
1	complete
1	kate
1	trip
1	sprat
1	ahhah
1	he'd
1	lacking
1	pain
1	filling
1	crabby
1	crackers
1	exact
1	swimming
1	hoping
1	planing
1	lady
1	cub
1	sweetie
1	ms
1	brushing
1	sounds
1	aunt
1	cats
1	telling
1	language
1	doors
1	cooperate
1	giraffe
1	bells
1	buried
1	keeps
1	fins
1	kicks
1	screen
1	king's
1	belongs
1	disappeared
1	bucket
1	deal
1	doubt
1	kitty's
1	kickball
1	easy
1	cold's
1	abcs
1	laughed
1	lived
1	hairs
1	yawning
1	fair
1	peg
1	grapefruit
1	shouldn't
1	cross
1	skip
1	links
1	letter
1	seeing
1	helping
1	quarrel
1	chased
1	peek
1	licked
1	hadn't
1	trim
1	thirsty
1	pup
1	mopped
1	sofa
1	habits
1	fear
1	working
1	furniture
1	participate
1	swim
1	quivering
1	meal
1	pack
1	trucks
1	rather
1	horner
1	doctor's
1	control
1	bout
1	longest
1	fortune
1	using
1	making
1	robert
1	popular
1	wool
1	collar
1	dust
1	belong
1	enjoy
1	corn
1	megablocks
1	middle
1	stutter
1	formula
1	teacher's
1	ribbons
1	bray
1	spoiled
1	moments
1	mac
1	clapping
1	ground
1	teacher
