,0,1,2,3,4,5,6,7,8,9,mean
type_fscore,0.1673,0.1711,0.1781,0.1807,0.1777,0.1766,0.1661,0.1667,0.1675,0.1639,0.17157
type_recall,0.2591,0.2569,0.2755,0.2784,0.2833,0.2722,0.252,0.2411,0.2427,0.2449,0.26061
type_precision,0.1236,0.1283,0.1316,0.1338,0.1295,0.1307,0.1239,0.1274,0.1279,0.1232,0.12799000000000002
token_fscore,0.3781,0.3956,0.3784,0.3634,0.3654,0.3651,0.3645,0.364,0.354,0.3554,0.36839
token_recall,0.4181,0.4375,0.4215,0.4055,0.4046,0.4033,0.4015,0.4039,0.3944,0.3938,0.40841000000000005
token_precision,0.345,0.361,0.3432,0.3292,0.3331,0.3335,0.3337,0.3312,0.3211,0.3238,0.33547999999999994
boundary_fscore,0.5871,0.5931,0.5808,0.5693,0.575,0.5742,0.5749,0.5788,0.5769,0.5771,0.5787199999999999
boundary_recall,0.6723,0.6806,0.6741,0.6625,0.6607,0.6573,0.6549,0.6653,0.6666,0.6616,0.66559
boundary_precision,0.5211,0.5255,0.5102,0.499,0.509,0.5098,0.5123,0.5122,0.5084,0.5117,0.51192
