Freq	Type
3	tool
3	guard
3	munch
3	put
3	liz
3	bowl
3	rinse
3	birth
3	lip
3	fourth
3	tunnel
3	pen
3	feet
3	life
3	yak
3	sneak
3	pick
3	entire
3	near
3	patty
3	both
3	keys
2	fry
2	bummie
2	hoop
2	fine
2	pan
2	rice
2	grand
2	bigger
2	yucky
2	pro
2	rick
2	wick
2	milk
2	tonight
2	sitter
2	used
2	sand
2	willy
2	auntie
2	bricks
2	red's
2	covers
2	they've
2	send
2	post
2	took
2	package
2	lid
2	rings
2	dum
2	root
2	month
2	lamb
2	counts
2	indeed
2	tower
2	lame
2	board
2	roller
2	hung
2	game
2	hip
2	change
2	bells
2	areil
2	ax
2	stew
2	ned
2	rougher
2	undo
2	aw
2	trip
2	messy
2	type
2	tank
2	wind
2	sneeze
2	smooth
2	bug
2	fresh
2	sink
2	funny
2	hid
2	bat
2	lake
2	sent
2	chips
2	matter
2	calm
2	song
2	lots
2	when's
2	neat
2	cause
2	face
2	warmer
2	rockie
2	because
2	stays
2	cooler
2	sheets
2	don
2	batter
2	cannot
2	through
2	deal
2	known
2	found
2	earth
2	eaten
2	bead
2	eyebrow
2	kids
2	windows
2	sweet
2	fountain
2	minute
2	rock
2	broke
2	goal
2	bra
2	she's
1	quiz
1	woods
1	chill
1	weepie
1	band
1	far
1	beads
1	drip
1	shiver
1	flow
1	rain
1	lays
1	strong
1	every
1	john
1	eater
1	cents
1	net
1	tip
1	hope
1	hill
1	drawers
1	roar
1	wife
1	branch
1	course
1	winter
1	dome
1	we'd
1	grover
1	grow
1	stopper
1	truck
1	mickey
1	chickens
1	won't
1	bite
1	cheese
1	cooks
1	stayed
1	drawer
1	new
1	mary
1	pots
1	white
1	prints
1	twos
1	arms
1	beat
1	teepy
1	cheek
1	feed
1	grown
1	draw
1	pause
1	aren't
1	dan
1	x
1	small
1	bow
1	hours
1	butts
1	fold
1	slides
1	gave
1	steep
1	thread
1	steal
1	belong
1	bikes
1	smell
1	mooboosh
1	pears
1	brave
1	boobie
1	safe
1	that'll
1	bunch
1	mark
1	crow
1	counting
1	fear
1	toast
1	giver
1	flip
1	thin
1	alive
1	fuzz
1	iron
1	picture
1	tim
1	amen
1	attic
1	kettle
1	yuck
1	dot
1	lock
1	screw
1	grit
1	light
1	slice
1	chance
1	sound
1	cookie
1	outer
1	hers
1	holdup
1	mag
1	snacks
1	salad
1	papa
1	height
1	sounds
1	mash
1	food
1	tacks
1	fruit
1	crunch
1	bouncer
1	burke
1	wink
1	bah
1	means
1	cub
1	days
1	river
1	thirst
1	ocean
1	grip
1	mood
1	butter
1	snow
1	tape
1	groaning
1	runs
1	clip
1	hum
1	picking
1	pant
1	thicker
1	others
1	drag
1	taller
1	kicks
1	pinch
1	calf
1	pretty
1	nest
1	sign
1	manage
1	praise
1	rat
1	escape
1	links
1	heels
1	uppie
1	lump
1	lot
1	bridge
1	dip
1	serve
1	boop
1	seem
1	bib
1	hannah's
1	sheep
1	fit
1	shelf
1	boosh
1	fig
1	hairie
1	hurry
1	upper
1	banner
1	bush
1	whoa
1	sweaty
1	dad's
1	ally
1	floor
1	broth
1	who's
1	wig
1	mirror
1	stuck
1	beds
1	skills
1	falls
1	work
1	road
1	meadow
1	lima
1	feels
1	rove
1	al
1	black
1	laura
1	odd
1	reads
1	kill
1	pad
1	diaper
1	hush
1	bitty
1	boys
1	cried
1	tools
1	ought
1	foot
1	nine
1	dressed
1	stinker
1	bees
1	fork
1	ho
1	hits
1	zebra
1	mmming
1	nurse
1	neck
1	swell
1	bub
1	pup
1	leaves
1	trim
1	hera
1	smush
1	wuss
1	king's
1	loose
1	litter
1	played
1	crap
