,0,1,2,3,4,5,6,7,8,9,mean
type_fscore,0.1676,0.1737,0.1714,0.1744,0.1693,0.1744,0.1726,0.18,0.1787,0.1722,0.17343
type_recall,0.5854,0.5839,0.6004,0.607,0.6131,0.6137,0.5809,0.567,0.5622,0.5669,0.58805
type_precision,0.09781,0.102,0.09995,0.1018,0.09824,0.1016,0.1014,0.107,0.1063,0.1015,0.10175999999999999
token_fscore,0.4061,0.416,0.4204,0.4203,0.414,0.4127,0.4051,0.4001,0.402,0.3983,0.4095000000000001
token_recall,0.3534,0.3627,0.3677,0.368,0.3601,0.3602,0.3533,0.3499,0.3516,0.3465,0.35733999999999994
token_precision,0.4774,0.4876,0.4907,0.4899,0.4868,0.4832,0.4746,0.467,0.4693,0.4683,0.47948
boundary_fscore,0.6075,0.6081,0.607,0.606,0.6072,0.6089,0.6073,0.605,0.6055,0.6041,0.6066600000000001
boundary_recall,0.4995,0.4996,0.4998,0.4994,0.4975,0.502,0.501,0.5016,0.5018,0.4977,0.49999000000000005
boundary_precision,0.775,0.7769,0.7727,0.7705,0.7791,0.7738,0.7709,0.7622,0.763,0.7685,0.7712600000000001
