Freq	Type
3	feets
3	fake
3	hug
3	uhuh
3	noise
3	height
3	quick
3	rattle
3	diaper
3	jack
3	tutti
3	sid
3	page
3	found
3	move
3	mail
3	kate
3	ounce
3	milk
3	shopping
3	vin
3	thumb
3	shade
3	sits
3	dan
3	windows
3	lot
3	which
3	suck
3	pies
3	door
3	pen
3	car
3	john
3	itty
3	working
3	reach
3	comes
3	kids
3	calm
3	lettuce
3	seem
3	plane
3	grey
3	bar
3	grit
3	thirsty
3	nana's
2	shape
2	mix
2	tunnel
2	order
2	tool
2	window
2	hera
2	grape
2	none
2	chat
2	grease
2	fresh
2	cow
2	minute
2	shell
2	doubt
2	show
2	oatmeal
2	plays
2	curl
2	plug
2	treat
2	yep
2	works
2	wrap
2	beep
2	god
2	emmy's
2	wig
2	nail
2	sale
2	pacie
2	goat
2	set
2	sweetie
2	cakes
2	toy
2	poor
2	black
2	never
2	person
2	whoa
2	we'd
2	land
2	meanie
2	lime
2	yak
2	hog
2	sore
2	hate
2	arms
2	apron
2	al
2	num
2	miss
2	fountain
2	mitt
2	bees
2	game
2	trees
2	voice
2	top
2	climbs
2	butter
2	has
2	array
2	bug
2	caught
2	bill
2	ali
2	line
2	than
2	shoot
2	hoops
2	flip
2	looked
2	wild
2	corn
2	bay
2	bummie
2	drip
2	dog
2	jacket
2	walked
2	bib
2	sneak
2	shin
2	wreck
2	shoesies
2	shiny
2	onie
2	choke
2	feels
2	spit
2	chasing
2	gene
2	nana
2	ones
2	touch
2	radio
2	leaf
2	fight
2	treats
2	earth
2	ms
2	ram
2	rick
2	times
2	glass
2	bend
2	stew
2	luck
2	small
2	even
2	opened
2	heap
2	counts
2	frog
2	spin
2	bears
2	dance
2	chugga
2	cute
2	grab
2	called
2	blow
2	thin
2	liz
2	ran
2	hen
2	snow
2	lord
2	leave
2	cloth
2	duckie
2	they'd
1	tough
1	jig
1	cough
1	yucky
1	pigs
1	butts
1	next
1	gone
1	oughta
1	nosed
1	tight
1	walker
1	shovel
1	ashy
1	shy
1	jasmine
1	attic
1	flows
1	played
1	dad's
1	lure
1	cane
1	loving
1	ax
1	mom's
1	deal
1	rip
1	board
1	tick
1	cheek
1	fry
1	escape
1	reading
1	written
1	cleans
1	bikes
1	letting
1	elmo
1	loaf
1	kill
1	band
1	rings
1	aw
1	falls
1	grind
1	cookie
1	they'll
1	fuzzy
1	june
1	course
1	sill
1	bra
1	papa
1	sign
1	roller
1	winnie
1	bald
1	hoop
1	burn
1	through
1	raising
1	birds
1	longer
1	party
1	beg
1	eatsa
1	wuss
1	if
1	shock
1	bitty
1	chill
1	van's
1	blue
1	lynn
1	ugh
1	chase
1	breeze
1	shirts
1	hairie
1	yucks
1	bummie's
1	pile
1	iron
1	skill
1	bars
1	windy
1	itchy
1	sent
1	ugly
1	bums
1	spinach
1	into
1	outer
1	lock
1	scratch
1	tear
